name;capacity;tech;dispatchable;profile;type;bus
E20793011S12000000000001966500001;99.84;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000020420320001;43.42;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000020969510001;51.33;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000021050430001;75.6;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011S12000000000002703270001;47.19;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011S12000000000002703270002;52.64;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000017607520001;24;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000017774160001;32.54;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000017788010001;32;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000021057490001;40.779;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
E20793011000000000000021057490002;52.72;pv;False;pv-Bordelum-profile;generator;Bordelum-electricity
WEA;1000;wind;False;wind-Borderlum;generator;Bordelum-electricity
